hash,result,filename,cadical_hack_gb,CaDiCaL_PriPro,CaDiCaL_PriPro_no_bin,CaDiCaL_rp,CaDiCaL_sc2021,Cadical_SCAVEL01,Cadical_SCAVEL02,CaDiCaL_Stability_HC,cadical_watch_sat,CleanMaple,CleanMaple_PriPro,cms_expV_gbL,hCaD,hCaD_psids,hKis,hKis_psids,hKis_unsat,kissat_bonus,kissat_cf,kissat_crvr_gb,kissat_gb,Kissat_MAB,Kissat_sc2021_default,Kissat_sc2021_sat,Kissat_sc2021_sweep,lstech_maple,Maple_MBDR_BJL6_Tier2,Maple_MBDR_BJL7_Local,Maple_MBDR_Cent_PERM_10K,Maple_MBDR_Cent_PERM_75K,Maple_simp21,MapleSSV,optsat_m21,optsat_R21,ParaFROST,ParaFROST_NoMDM,Relaxed_LCFTP,Relaxed_LCFTP_V2,Relaxed_LCFTP_V3,Relaxed_LCMDCBDL_BLB,Relaxed_LCMDCBDL_SCAVEL01,Relaxed_LCMDCBDL_SCAVEL02,SLIME_hess_no_rnd,SLIME_hess_rnd,SLIME_no_hess_no_rnd,SLIME_no_hess_rnd
e6ebcf156dfca54a7881190a14a330fa,sat,Kakuro-easy-150-ext.xml.hg_9.cnf.xz,164.828,200.018,198.392,162.892,1354.15,416.964,215.32,616.465,231.763,1668.52,1969.29,754.894,231.326,1255.12,263.132,1646.92,104.487,1351.14,112.821,95.6733,159.182,108.842,188.962,61.7432,224.896,462.377,504.657,459.423,694.443,718.749,343.563,564.915,260.629,360.929,192.917,342.539,501.378,439.856,438.778,279.318,396.52,490.371,540.143,714.715,470.24,429.772
e6f6a122f3988097a98995bfb7e1d1bb,unsat,mp1-klieber2017s-1200-022-eq.cnf.xz,851.474,727.376,721.306,822.563,939.319,802.194,794.625,811.197,713.393,4998.9,4353.08,710.861,715.778,679.371,572.254,642.219,684.429,856.381,558.931,594.073,599.305,826.713,832.937,851.932,756.77,863.914,unverified,unverified,946.179,1284.4,1057.11,722.104,1075.83,1046.22,265.806,248.865,1055.25,1191.71,1284.22,752.844,877.269,867.876,798.424,801.635,902.76,892.032
e724ce11027976e35cfb8ca6881d741b,sat,Sz1024_34824.smt2.cnf.xz,timeout,2523.14,2522,425.95,1654.86,2446.78,1787.83,2776.57,1661.41,timeout,timeout,336.382,285.272,timeout,891.037,timeout,1136.31,timeout,675.394,676.157,573.649,533.369,865.515,451.65,1038.35,1231.85,995.092,2704.93,3678.72,3612.17,1304.81,timeout,timeout,999.094,2498.89,1030.22,timeout,timeout,2951.21,timeout,timeout,4645.65,2754.34,3268.32,1856.45,3088.57
e7736f693835ebec4ced74ad3c146e81,unsat,WS_300_24_90_10.apx_0.cnf.xz,207.175,90.0515,92.0056,177.344,64.023,221.219,329.324,191.192,237.508,589.418,541.949,148.066,145.937,135.512,148.064,198.389,184.247,346.087,145.621,137.102,180.156,209.651,52.839,49.3383,53.5466,105.414,unverified,unverified,162.367,168.348,124.01,95.3266,120.934,133.291,222.61,207.799,251.82,217.138,274.834,78.9843,142.951,1047.18,148.667,161.899,178.364,179.67
e8209cd050c81226a57e93a0a83220d4,unsat,string_compare_safety_cbmc_unwinding_700.cnf.xz,986.729,750.862,742.684,982.7,844.806,980.461,1266.7,1053.33,912.442,timeout,timeout,1519.7,902.252,919.58,963.729,1009.77,925.724,743.87,806.309,1136.18,1029.19,941.316,1208.92,1505.04,1624.38,1787.78,unverified,unverified,2981.26,3013.55,2368.07,2663.65,2534.68,2014.51,4886.12,2840.12,3153.74,3584.43,3451.17,4371.1,2473.91,2617.54,3365.9,3403.71,3240.73,3168.36
e823071e58960a155122139ab4d0f44a,unsat,vlsat2_51_824.cnf.xz,974.614,314.095,314.904,2659.1,timeout,2533.01,timeout,1561.17,1722.92,timeout,timeout,timeout,1449.57,497.75,timeout,4535.94,2298.14,3195.72,timeout,timeout,timeout,3339.54,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,4203.51,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
e8408d02568ac7214d2d4cad6d59e9bf,unsat,vlsat2_144_7585.cnf.xz,3770.39,3448.53,3451.16,3979.37,timeout,2913.88,timeout,4205.41,4840.23,timeout,timeout,timeout,3518.43,967.019,timeout,timeout,1817.76,timeout,timeout,4050.24,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,2603.13,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
e8c79a0ee6be39b6b2211c9a527c192a,sat,randomG-n20-d05.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
e9674dde824d0e269ad80b9659b1b431,sat,HCP-446-420.cnf.xz,922.517,883.439,871.663,1215.93,997.497,1051.19,1411.71,1027.42,1002.42,timeout,timeout,3331.97,3139.66,1612.48,2458.86,1250.89,1600.13,988.447,3361.61,2567.01,2019.26,1441.06,1629.38,3470.96,1589.84,timeout,timeout,timeout,timeout,timeout,timeout,4549.51,4038.54,timeout,1251.07,1503.28,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
e9bd4a210195e83cf64cae1aaf5a36a0,sat,size_5_5_5_i251_r12.cnf.xz,1467.47,timeout,timeout,1258.08,1567.62,229.111,1265.39,timeout,2168.09,timeout,timeout,4269.52,705.756,359.82,185.756,2182.51,1671.1,timeout,360.147,518.437,378.067,488.492,107.334,792.32,107.506,75.9461,1085.52,700.715,368.739,662.949,1287.58,timeout,3924.69,492.901,2114.83,914.763,806.461,1637.49,245.194,1365.75,2192.99,1363.57,90.7743,558.037,timeout,1492.1
eb09e5484eaf494d6c1abe60c5b38b7e,sat,sp5-26-19-bin-nons-tree-noid.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,4192.07,timeout,1943.85,timeout,timeout,2617.62,timeout,timeout,timeout,timeout,timeout,timeout,1160,timeout,4098.99,3836.98,timeout,timeout,timeout,98.9231,timeout,timeout,timeout,timeout,timeout,timeout,timeout,2889.57,timeout,timeout,timeout,timeout,1467.4,timeout,timeout,timeout,892.318,1132.47,timeout,timeout
eb92c7c6b92379e55b91bc764632d65e,unsat,crafted_n10_d6_c4_num15.cnf.xz,295.584,222.928,215.359,255.704,135.115,251.626,127.03,279.954,233.188,2196.48,timeout,127.706,1134.73,227.676,442.786,188.481,211.105,144.844,393.227,425.832,284.035,145.757,189.955,182.927,143.452,193.303,unverified,unverified,517.34,515.791,388.98,319.624,283.28,390.009,357.37,287.04,697.657,588.75,566.776,337.885,361.236,481.045,2753.18,333.731,494.721,662.265
ecd91912911f079da6b66ee6afd8e716,unsat,crafted_n10_d6_c4_num21.cnf.xz,262.096,252.284,250.756,265.634,132.402,286.52,207.175,266.92,259.97,2917.28,timeout,140.012,661.429,206.66,345.278,241.914,236.846,226.443,499.761,426.497,458.748,274.854,190.551,204.934,169.454,314.399,unverified,unverified,419.399,418.83,365.086,316.327,345.19,186.228,246.938,395.647,502.154,510.833,466.815,282.917,236.571,282.935,2748.09,317.65,549.644,406.098
eda4aa84aeeb306468396fa82a6bba5a,sat,pb_300_05_lb_17.cnf.xz,279.836,367.978,360.322,385.898,246.609,114.005,100.8,467.007,102.103,354.495,827.207,322.746,123.689,334.93,68.2336,305.654,105.651,1713,41.1814,112.487,221.965,156.279,43.2634,70.1164,44.1845,57.4625,50.6415,55.283,100.994,97.193,65.0066,109.04,57.1444,158.32,79.3105,59.8891,208.646,81.0294,51.7185,87.6373,151.045,107.479,64.4293,228.137,64.9784,258.175
ee3d0bbbe59d1d3d1a087df411d44626,unknown,sum_of_3_cubes_87_bits_75.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
ef4508038f0220f285640f4f9f1da640,unknown,satch2ways18u.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
ef64bc4d3c2505574e067eb50b48ffd4,sat,HCP-522-105.cnf.xz,91.7536,102.949,103.369,222.19,182.474,70.7388,98.1902,91.9419,60.965,timeout,timeout,554.519,50.5852,134.82,282.481,488.73,182.056,168.549,185.457,32.5489,420.852,144.103,341.027,210.363,253.118,266.327,195.491,183.288,173.668,173.216,99.7136,timeout,620.641,135.718,73.1692,74.7351,149.271,2027.01,1663.75,299.35,145.723,timeout,187.46,1081.46,timeout,308.837
ef673597d33e9c4952ac883ceb96cbab,unsat,k2fix_gr_rcs_w8.shuffled.cnf.xz,1515.35,908.638,905.99,1678.77,4.48781,48.2275,257.299,1741.18,1496.33,timeout,188.993,timeout,1173.56,6.09475,1031.42,2.14461,1993.5,1.75928,742.986,2.11613,1692.72,2.31238,6.19279,4.4539,6.43903,timeout,unverified,unverified,timeout,timeout,8.23196,timeout,970.386,7.8953,3.97996,1974.99,54.4057,timeout,3407.23,timeout,27.307,timeout,18.9457,19.1345,19.1259,19.4749
effa19cc18a6c3faca19761028bb0a0e,unknown,SC21_Timetable_C_121_E_34_Cl_8_S_4.cnf.xz,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
f157df1208c06caaa5cf11371704b87b,unsat,edit_distance041_182.cnf.xz,205.696,181.027,168.234,259.335,136.439,176.989,132.649,215.45,210.415,845.11,1379.66,303.9,261.857,214.188,229.645,257.298,214.567,148.412,259.929,303.45,307.533,296.544,177.295,236.839,178.714,162.008,unverified,unverified,174.412,175.023,156.685,159.198,158.103,151.806,188.618,199.016,151.439,164.466,154.004,263.343,168.95,151.728,143.598,225.061,151.723,206.892
f293dc11e842227dd1a49fe1571bcb8b,unsat,mp1-tri_ali_s11_c35_abix_UNS.cnf.xz,111.612,87.4193,87.7234,122.314,102.216,148.511,263.018,137.38,134.944,716.481,478.078,108.32,131.33,117.817,141.45,121.716,121.235,115.299,113.314,114.517,106.219,146.036,100.098,106.3,102.159,79.4307,unverified,unverified,97.8857,104.64,91.5361,83.6151,95.8256,91.6729,77.8741,90.6745,96.2884,94.1991,111.809,71.5399,95.1712,433.497,95.2515,99.9517,98.2104,108.354
f4a15cbf0cc8bc993e29f82e7d8e9563,sat,HCP-529-60.cnf.xz,157.437,169.41,172.049,181.092,70.204,91.6384,144.458,148.853,314.471,1239.92,timeout,1558.12,71.7649,199.413,56.6483,155.698,37.1396,119.521,65.862,24.1334,153.378,151.975,155.372,98.9877,237.375,730.283,183.085,97.1203,110.43,108.642,1903.83,timeout,135.83,510.885,92.8659,67.4729,170.411,1450.12,200.752,2077.94,1589.4,281.155,timeout,1138.46,1318.34,2607.23
f51d3940d97c1019081744d94bf08778,unsat,MVD_ADS_S4_5_5.cnf.xz,0.823951,0.927828,0.926705,0.838733,0.922345,216.685,2167.36,0.838566,0.86871,timeout,timeout,0.611679,0.83135,0.854592,0.432022,0.436574,1.06062,0.488792,0.432083,0.416941,0.416667,0.49618,0.429697,0.43224,0.441803,1033.43,1032.25,1024.24,1150.41,1158.22,977.554,1031.86,1012.61,1005.42,34.4543,33.6217,1085.67,1060.18,1067.29,1040.33,1033.33,timeout,1085.16,1085.27,1082.96,1093.27
f746dae2050dd4aa48bcd53e8bd897b4,sat,ex065_25.cnf.xz,timeout,timeout,timeout,3078.6,2704.27,timeout,1009.7,447.853,794.856,timeout,timeout,98.5326,50.86,timeout,136.659,117.376,1347.92,1548.57,29.5073,802.887,145.058,timeout,timeout,timeout,timeout,5.69806,113.965,114.96,101.736,98.3715,timeout,timeout,1654.99,timeout,538.997,1319.52,141.796,108.007,97.498,399.395,2689.59,95.6956,103.25,122.631,122.278,114.013
fab5698f06861b62c881c77630fbcd4d,sat,Kakuro-easy-142-ext.xml.hg_8.cnf.xz,1130.63,1304.93,1287.2,518.023,404.506,1049.65,1949.69,1408.12,1101.99,4983.77,timeout,4261.81,968.482,4056.1,342.428,timeout,142.622,timeout,310.773,403.806,326.068,88.9134,184.864,337.391,285.618,248.509,695.695,446.847,804.443,837.337,502.015,1498.03,585.282,498.353,1042.52,658.652,783.304,1004.99,599.72,1053.28,906.109,1039.45,1063.55,787.871,565.023,789.026
faea4b579b0010b32f001ac4b5b9415a,unsat,rphp4_090_shuffled.cnf.xz,timeout,timeout,timeout,timeout,1026.52,3539.15,1760.24,timeout,timeout,timeout,timeout,timeout,timeout,4338.63,timeout,3928.15,3589.46,1935.35,timeout,timeout,timeout,3175.7,1545.07,3259.86,1577.5,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout,timeout
fb621b2b4a54ec0f01ac36daaa7f0f5b,sat,HCP-470-105.cnf.xz,896.609,909.41,928.942,833.987,699.492,757.696,2469.97,1447.82,884.275,timeout,timeout,timeout,1902.56,815.739,1716.85,2303.67,874.315,1382.64,1282.33,1647.27,1312.09,2332.87,2255.43,1650.04,2017.22,timeout,timeout,timeout,timeout,timeout,timeout,3819.3,timeout,timeout,1448.52,651.728,timeout,timeout,timeout,timeout,timeout,4346.81,timeout,timeout,timeout,timeout
fdfd5975c57d7cd2264ef6aff6cb4815,sat,SE_PR_stb_588_138.apx_1.cnf.xz,787.826,1648.71,1664.83,162.951,654.621,timeout,383.619,1179.21,628.94,timeout,timeout,41.0655,114.392,timeout,72.8762,181.336,190.528,253.158,106.876,21.4159,2.13562,1.79812,1576.46,682.798,1595.77,1639.21,1.66524,1.66953,20.6304,20.7876,121.477,978.271,122.35,121.78,0.438178,342.089,3.27364,1.66648,1.67961,1.66494,1.6671,599.829,1.37041,1.37125,1.37725,1.37077
ff4b033c2a2da4100f0b1e83c49c5f80,sat,Circuit_multiplier25.cnf.xz,timeout,4535.82,4533.66,903.868,timeout,timeout,timeout,timeout,99.7583,timeout,1167.98,822.831,2008,timeout,3110.76,2823.99,3930.41,timeout,196.823,3659.05,4163.73,timeout,420.543,289.652,164.746,3369.64,3000.43,2465.54,4183.32,timeout,timeout,2179.96,timeout,2647.09,timeout,timeout,693.504,4167.05,3229.07,1020.58,763.429,timeout,903.732,2259.23,1293.48,timeout
